DateKey,Date,Day,DayAbbv,Month,MonthAbbv,MonthNum,Quarter,Year
20120928,2012-09-28,Friday,Fri,September,Sep,9,3,2012
20120929,2012-09-29,Saturday,Sat,September,Sep,9,3,2012
20120930,2012-09-30,Sunday,Sun,September,Sep,9,3,2012
20121001,2012-10-01,Monday,Mon,October,Oct,10,4,2012
20121002,2012-10-02,Tuesday,Tue,October,Oct,10,4,2012
20121003,2012-10-03,Wednesday,Wed,October,Oct,10,4,2012
20121004,2012-10-04,Thursday,Thu,October,Oct,10,4,2012
20121005,2012-10-05,Friday,Fri,October,Oct,10,4,2012
20121006,2012-10-06,Saturday,Sat,October,Oct,10,4,2012
20121007,2012-10-07,Sunday,Sun,October,Oct,10,4,2012
20121008,2012-10-08,Monday,Mon,October,Oct,10,4,2012
20121009,2012-10-09,Tuesday,Tue,October,Oct,10,4,2012
20121010,2012-10-10,Wednesday,Wed,October,Oct,10,4,2012
20121011,2012-10-11,Thursday,Thu,October,Oct,10,4,2012
20121012,2012-10-12,Friday,Fri,October,Oct,10,4,2012
20121013,2012-10-13,Saturday,Sat,October,Oct,10,4,2012
20121014,2012-10-14,Sunday,Sun,October,Oct,10,4,2012
20121015,2012-10-15,Monday,Mon,October,Oct,10,4,2012
20121016,2012-10-16,Tuesday,Tue,October,Oct,10,4,2012
20121017,2012-10-17,Wednesday,Wed,October,Oct,10,4,2012
20121018,2012-10-18,Thursday,Thu,October,Oct,10,4,2012
20121019,2012-10-19,Friday,Fri,October,Oct,10,4,2012
20121020,2012-10-20,Saturday,Sat,October,Oct,10,4,2012
20121021,2012-10-21,Sunday,Sun,October,Oct,10,4,2012
20121022,2012-10-22,Monday,Mon,October,Oct,10,4,2012
20121023,2012-10-23,Tuesday,Tue,October,Oct,10,4,2012
20121024,2012-10-24,Wednesday,Wed,October,Oct,10,4,2012
20121025,2012-10-25,Thursday,Thu,October,Oct,10,4,2012
20121026,2012-10-26,Friday,Fri,October,Oct,10,4,2012
20121027,2012-10-27,Saturday,Sat,October,Oct,10,4,2012
20121028,2012-10-28,Sunday,Sun,October,Oct,10,4,2012
20121029,2012-10-29,Monday,Mon,October,Oct,10,4,2012
20121030,2012-10-30,Tuesday,Tue,October,Oct,10,4,2012
20121031,2012-10-31,Wednesday,Wed,October,Oct,10,4,2012
20121101,2012-11-01,Thursday,Thu,November,Nov,11,4,2012
20121102,2012-11-02,Friday,Fri,November,Nov,11,4,2012
20121103,2012-11-03,Saturday,Sat,November,Nov,11,4,2012
20121104,2012-11-04,Sunday,Sun,November,Nov,11,4,2012
20121105,2012-11-05,Monday,Mon,November,Nov,11,4,2012
20121106,2012-11-06,Tuesday,Tue,November,Nov,11,4,2012
20121107,2012-11-07,Wednesday,Wed,November,Nov,11,4,2012
20121108,2012-11-08,Thursday,Thu,November,Nov,11,4,2012
20121109,2012-11-09,Friday,Fri,November,Nov,11,4,2012
20121110,2012-11-10,Saturday,Sat,November,Nov,11,4,2012
20121111,2012-11-11,Sunday,Sun,November,Nov,11,4,2012
20121112,2012-11-12,Monday,Mon,November,Nov,11,4,2012
20121113,2012-11-13,Tuesday,Tue,November,Nov,11,4,2012
20121114,2012-11-14,Wednesday,Wed,November,Nov,11,4,2012
20121115,2012-11-15,Thursday,Thu,November,Nov,11,4,2012
20121116,2012-11-16,Friday,Fri,November,Nov,11,4,2012
20121117,2012-11-17,Saturday,Sat,November,Nov,11,4,2012
20121118,2012-11-18,Sunday,Sun,November,Nov,11,4,2012
20121119,2012-11-19,Monday,Mon,November,Nov,11,4,2012
20121120,2012-11-20,Tuesday,Tue,November,Nov,11,4,2012
20121121,2012-11-21,Wednesday,Wed,November,Nov,11,4,2012
20121122,2012-11-22,Thursday,Thu,November,Nov,11,4,2012
20121123,2012-11-23,Friday,Fri,November,Nov,11,4,2012
20121124,2012-11-24,Saturday,Sat,November,Nov,11,4,2012
20121125,2012-11-25,Sunday,Sun,November,Nov,11,4,2012
20121126,2012-11-26,Monday,Mon,November,Nov,11,4,2012
20121127,2012-11-27,Tuesday,Tue,November,Nov,11,4,2012
20121128,2012-11-28,Wednesday,Wed,November,Nov,11,4,2012
20121129,2012-11-29,Thursday,Thu,November,Nov,11,4,2012
20121130,2012-11-30,Friday,Fri,November,Nov,11,4,2012
20121201,2012-12-01,Saturday,Sat,December,Dec,12,4,2012
20121202,2012-12-02,Sunday,Sun,December,Dec,12,4,2012
20121203,2012-12-03,Monday,Mon,December,Dec,12,4,2012
20121204,2012-12-04,Tuesday,Tue,December,Dec,12,4,2012
20121205,2012-12-05,Wednesday,Wed,December,Dec,12,4,2012
20121206,2012-12-06,Thursday,Thu,December,Dec,12,4,2012
20121207,2012-12-07,Friday,Fri,December,Dec,12,4,2012
20121208,2012-12-08,Saturday,Sat,December,Dec,12,4,2012
20121209,2012-12-09,Sunday,Sun,December,Dec,12,4,2012
20121210,2012-12-10,Monday,Mon,December,Dec,12,4,2012
20121211,2012-12-11,Tuesday,Tue,December,Dec,12,4,2012
20121212,2012-12-12,Wednesday,Wed,December,Dec,12,4,2012
20121213,2012-12-13,Thursday,Thu,December,Dec,12,4,2012
20121214,2012-12-14,Friday,Fri,December,Dec,12,4,2012
20121215,2012-12-15,Saturday,Sat,December,Dec,12,4,2012
20121216,2012-12-16,Sunday,Sun,December,Dec,12,4,2012
20121217,2012-12-17,Monday,Mon,December,Dec,12,4,2012
20121218,2012-12-18,Tuesday,Tue,December,Dec,12,4,2012
